Lead ID,Lead Source,Lead Date,Funnel Stage,Final Stage,Revenue
46,Email,2025-01-02 21:00:00,Lead,SQL,0.0
47,Google Ads,2025-01-02 22:00:00,Lead,MQL,0.0
48,Facebook,2025-01-02 23:00:00,Lead,Lead,0.0
49,Facebook,2025-01-03 00:00:00,Lead,Lead,0.0
50,Google Ads,2025-01-03 01:00:00,Lead,Lead,0.0
51,Referral,2025-01-03 02:00:00,Lead,Lead,0.0
52,Email,2025-01-03 03:00:00,Lead,MQL,0.0
53,Organic,2025-01-03 04:00:00,Lead,Lead,0.0
54,Organic,2025-01-03 05:00:00,Lead,MQL,0.0
55,Facebook,2025-01-03 06:00:00,Lead,Closed Lost,0.0
56,Organic,2025-01-03 07:00:00,Lead,Lead,0.0
57,Google Ads,2025-01-03 08:00:00,Lead,MQL,0.0
58,Google Ads,2025-01-03 09:00:00,Lead,Lead,0.0
59,Google Ads,2025-01-03 10:00:00,Lead,SQL,0.0
60,Google Ads,2025-01-03 11:00:00,Lead,Lead,0.0
61,Google Ads,2025-01-03 12:00:00,Lead,Lead,0.0
62,Google Ads,2025-01-03 13:00:00,Lead,MQL,0.0
63,Organic,2025-01-03 14:00:00,Lead,SQL,0.0
64,Google Ads,2025-01-03 15:00:00,Lead,SQL,0.0
65,Google Ads,2025-01-03 16:00:00,Lead,MQL,0.0
66,Facebook,2025-01-03 17:00:00,Lead,Lead,0.0
67,Google Ads,2025-01-03 18:00:00,Lead,Closed Won,4165.854595656796
68,Organic,2025-01-03 19:00:00,Lead,Lead,0.0
69,Google Ads,2025-01-03 20:00:00,Lead,SQL,0.0
70,Referral,2025-01-03 21:00:00,Lead,Lead,0.0
71,Email,2025-01-03 22:00:00,Lead,MQL,0.0
72,Google Ads,2025-01-03 23:00:00,Lead,Lead,0.0
73,Google Ads,2025-01-04 00:00:00,Lead,Lead,0.0
74,Organic,2025-01-04 01:00:00,Lead,Lead,0.0
75,Email,2025-01-04 02:00:00,Lead,Lead,0.0
76,Email,2025-01-04 03:00:00,Lead,Lead,0.0
77,Email,2025-01-04 04:00:00,Lead,MQL,0.0
78,Google Ads,2025-01-04 05:00:00,Lead,Lead,0.0
79,Google Ads,2025-01-04 06:00:00,Lead,Closed Lost,0.0
80,Google Ads,2025-01-04 07:00:00,Lead,Lead,0.0
81,Organic,2025-01-04 08:00:00,Lead,MQL,0.0
82,Facebook,2025-01-04 09:00:00,Lead,Lead,0.0
83,Google Ads,2025-01-04 10:00:00,Lead,MQL,0.0
84,Google Ads,2025-01-04 11:00:00,Lead,Lead,0.0
85,Google Ads,2025-01-04 12:00:00,Lead,Lead,0.0
86,Google Ads,2025-01-04 13:00:00,Lead,Lead,0.0
87,Email,2025-01-04 14:00:00,Lead,Lead,0.0
88,Facebook,2025-01-04 15:00:00,Lead,MQL,0.0
89,Organic,2025-01-04 16:00:00,Lead,Closed Lost,0.0
90,Facebook,2025-01-04 17:00:00,Lead,SQL,0.0
91,Google Ads,2025-01-04 18:00:00,Lead,Lead,0.0
92,Email,2025-01-04 19:00:00,Lead,Lead,0.0
93,Email,2025-01-04 20:00:00,Lead,Lead,0.0
94,Facebook,2025-01-04 21:00:00,Lead,Lead,0.0
95,Email,2025-01-04 22:00:00,Lead,MQL,0.0
96,Facebook,2025-01-04 23:00:00,Lead,MQL,0.0
97,Facebook,2025-01-05 00:00:00,Lead,MQL,0.0
98,Facebook,2025-01-05 01:00:00,Lead,Lead,0.0
99,Google Ads,2025-01-05 02:00:00,Lead,Lead,0.0
100,Google Ads,2025-01-05 03:00:00,Lead,MQL,0.0
101,Google Ads,2025-01-05 04:00:00,Lead,Closed Lost,0.0
102,Facebook,2025-01-05 05:00:00,Lead,Lead,0.0
103,Google Ads,2025-01-05 06:00:00,Lead,Lead,0.0
104,Facebook,2025-01-05 07:00:00,Lead,Lead,0.0
105,Organic,2025-01-05 08:00:00,Lead,Lead,0.0
106,Google Ads,2025-01-05 09:00:00,Lead,MQL,0.0
107,Facebook,2025-01-05 10:00:00,Lead,Lead,0.0
108,Email,2025-01-05 11:00:00,Lead,Lead,0.0
109,Google Ads,2025-01-05 12:00:00,Lead,Lead,0.0
110,Google Ads,2025-01-05 13:00:00,Lead,Lead,0.0
111,Google Ads,2025-01-05 14:00:00,Lead,SQL,0.0
112,Google Ads,2025-01-05 15:00:00,Lead,SQL,0.0
113,Organic,2025-01-05 16:00:00,Lead,MQL,0.0
114,Organic,2025-01-05 17:00:00,Lead,Lead,0.0
115,Facebook,2025-01-05 18:00:00,Lead,Lead,0.0
116,Organic,2025-01-05 19:00:00,Lead,SQL,0.0
117,Organic,2025-01-05 20:00:00,Lead,SQL,0.0
118,Google Ads,2025-01-05 21:00:00,Lead,SQL,0.0
119,Organic,2025-01-05 22:00:00,Lead,SQL,0.0
120,Facebook,2025-01-05 23:00:00,Lead,Lead,0.0
121,Organic,2025-01-06 00:00:00,Lead,SQL,0.0
122,Organic,2025-01-06 01:00:00,Lead,Lead,0.0
123,Google Ads,2025-01-06 02:00:00,Lead,Lead,0.0
124,Google Ads,2025-01-06 03:00:00,Lead,Lead,0.0
125,Google Ads,2025-01-06 04:00:00,Lead,MQL,0.0
126,Facebook,2025-01-06 05:00:00,Lead,MQL,0.0
127,Organic,2025-01-06 06:00:00,Lead,Lead,0.0
128,Organic,2025-01-06 07:00:00,Lead,Lead,0.0
129,Google Ads,2025-01-06 08:00:00,Lead,SQL,0.0
130,Facebook,2025-01-06 09:00:00,Lead,Lead,0.0
131,Facebook,2025-01-06 10:00:00,Lead,Lead,0.0
132,Google Ads,2025-01-06 11:00:00,Lead,SQL,0.0
133,Google Ads,2025-01-06 12:00:00,Lead,MQL,0.0
134,Google Ads,2025-01-06 13:00:00,Lead,Lead,0.0
135,Organic,2025-01-06 14:00:00,Lead,Lead,0.0
136,Google Ads,2025-01-06 15:00:00,Lead,Lead,0.0
137,Facebook,2025-01-06 16:00:00,Lead,Lead,0.0
138,Email,2025-01-06 17:00:00,Lead,MQL,0.0
139,Google Ads,2025-01-06 18:00:00,Lead,MQL,0.0
140,Referral,2025-01-06 19:00:00,Lead,MQL,0.0
141,Referral,2025-01-06 20:00:00,Lead,SQL,0.0
142,Google Ads,2025-01-06 21:00:00,Lead,MQL,0.0
143,Facebook,2025-01-06 22:00:00,Lead,Lead,0.0
144,Google Ads,2025-01-06 23:00:00,Lead,MQL,0.0
145,Google Ads,2025-01-07 00:00:00,Lead,SQL,0.0
146,Google Ads,2025-01-07 01:00:00,Lead,Lead,0.0
147,Facebook,2025-01-07 02:00:00,Lead,MQL,0.0
148,Facebook,2025-01-07 03:00:00,Lead,Lead,0.0
149,Google Ads,2025-01-07 04:00:00,Lead,Lead,0.0
150,Google Ads,2025-01-07 05:00:00,Lead,MQL,0.0
151,Organic,2025-01-07 06:00:00,Lead,Lead,0.0
152,Google Ads,2025-01-07 07:00:00,Lead,Lead,0.0
153,Google Ads,2025-01-07 08:00:00,Lead,Lead,0.0
154,Facebook,2025-01-07 09:00:00,Lead,Lead,0.0
155,Referral,2025-01-07 10:00:00,Lead,MQL,0.0
156,Google Ads,2025-01-07 11:00:00,Lead,SQL,0.0
157,Email,2025-01-07 12:00:00,Lead,MQL,0.0
158,Email,2025-01-07 13:00:00,Lead,Lead,0.0
159,Google Ads,2025-01-07 14:00:00,Lead,MQL,0.0
160,Email,2025-01-07 15:00:00,Lead,Lead,0.0
161,Google Ads,2025-01-07 16:00:00,Lead,Lead,0.0
162,Facebook,2025-01-07 17:00:00,Lead,Lead,0.0
163,Facebook,2025-01-07 18:00:00,Lead,MQL,0.0
164,Facebook,2025-01-07 19:00:00,Lead,MQL,0.0
165,Google Ads,2025-01-07 20:00:00,Lead,Lead,0.0
166,Organic,2025-01-07 21:00:00,Lead,Lead,0.0
167,Google Ads,2025-01-07 22:00:00,Lead,SQL,0.0
168,Google Ads,2025-01-07 23:00:00,Lead,MQL,0.0
169,Google Ads,2025-01-08 00:00:00,Lead,MQL,0.0
170,Facebook,2025-01-08 01:00:00,Lead,SQL,0.0
171,Email,2025-01-08 02:00:00,Lead,Lead,0.0
172,Google Ads,2025-01-08 03:00:00,Lead,Lead,0.0
173,Facebook,2025-01-08 04:00:00,Lead,Lead,0.0
174,Google Ads,2025-01-08 05:00:00,Lead,SQL,0.0
175,Facebook,2025-01-08 06:00:00,Lead,Lead,0.0
176,Google Ads,2025-01-08 07:00:00,Lead,Lead,0.0
177,Email,2025-01-08 08:00:00,Lead,MQL,0.0
178,Google Ads,2025-01-08 09:00:00,Lead,MQL,0.0
179,Organic,2025-01-08 10:00:00,Lead,Lead,0.0
180,Google Ads,2025-01-08 11:00:00,Lead,MQL,0.0
181,Google Ads,2025-01-08 12:00:00,Lead,MQL,0.0
182,Google Ads,2025-01-08 13:00:00,Lead,MQL,0.0
183,Organic,2025-01-08 14:00:00,Lead,MQL,0.0
184,Organic,2025-01-08 15:00:00,Lead,Lead,0.0
185,Google Ads,2025-01-08 16:00:00,Lead,Lead,0.0
186,Email,2025-01-08 17:00:00,Lead,MQL,0.0
187,Organic,2025-01-08 18:00:00,Lead,MQL,0.0
188,Facebook,2025-01-08 19:00:00,Lead,MQL,0.0
189,Facebook,2025-01-08 20:00:00,Lead,Closed Lost,0.0
190,Google Ads,2025-01-08 21:00:00,Lead,Lead,0.0
191,Google Ads,2025-01-08 22:00:00,Lead,Lead,0.0
192,Organic,2025-01-08 23:00:00,Lead,Lead,0.0
193,Organic,2025-01-09 00:00:00,Lead,Lead,0.0
194,Facebook,2025-01-09 01:00:00,Lead,MQL,0.0
195,Google Ads,2025-01-09 02:00:00,Lead,MQL,0.0
196,Google Ads,2025-01-09 03:00:00,Lead,MQL,0.0
197,Email,2025-01-09 04:00:00,Lead,MQL,0.0
198,Organic,2025-01-09 05:00:00,Lead,MQL,0.0
199,Organic,2025-01-09 06:00:00,Lead,MQL,0.0
200,Email,2025-01-09 07:00:00,Lead,Lead,0.0
201,Facebook,2025-01-09 08:00:00,Lead,MQL,0.0
202,Google Ads,2025-01-09 09:00:00,Lead,Lead,0.0
203,Google Ads,2025-01-09 10:00:00,Lead,Lead,0.0
204,Organic,2025-01-09 11:00:00,Lead,Lead,0.0
205,Facebook,2025-01-09 12:00:00,Lead,Lead,0.0
206,Google Ads,2025-01-09 13:00:00,Lead,Lead,0.0
207,Google Ads,2025-01-09 14:00:00,Lead,MQL,0.0
208,Email,2025-01-09 15:00:00,Lead,SQL,0.0
209,Google Ads,2025-01-09 16:00:00,Lead,SQL,0.0
210,Google Ads,2025-01-09 17:00:00,Lead,Lead,0.0
211,Facebook,2025-01-09 18:00:00,Lead,Lead,0.0
212,Email,2025-01-09 19:00:00,Lead,Lead,0.0
213,Email,2025-01-09 20:00:00,Lead,Lead,0.0
214,Google Ads,2025-01-09 21:00:00,Lead,MQL,0.0
215,Email,2025-01-09 22:00:00,Lead,Lead,0.0
216,Google Ads,2025-01-09 23:00:00,Lead,MQL,0.0
217,Google Ads,2025-01-10 00:00:00,Lead,Lead,0.0
218,Email,2025-01-10 01:00:00,Lead,MQL,0.0
219,Facebook,2025-01-10 02:00:00,Lead,Lead,0.0
220,Organic,2025-01-10 03:00:00,Lead,Lead,0.0
221,Email,2025-01-10 04:00:00,Lead,Lead,0.0
222,Facebook,2025-01-10 05:00:00,Lead,Lead,0.0
223,Google Ads,2025-01-10 06:00:00,Lead,MQL,0.0
224,Google Ads,2025-01-10 07:00:00,Lead,Lead,0.0
225,Google Ads,2025-01-10 08:00:00,Lead,Lead,0.0
226,Google Ads,2025-01-10 09:00:00,Lead,Lead,0.0
227,Referral,2025-01-10 10:00:00,Lead,Lead,0.0
228,Google Ads,2025-01-10 11:00:00,Lead,MQL,0.0
229,Organic,2025-01-10 12:00:00,Lead,Lead,0.0
230,Facebook,2025-01-10 13:00:00,Lead,SQL,0.0
231,Email,2025-01-10 14:00:00,Lead,Lead,0.0
232,Facebook,2025-01-10 15:00:00,Lead,Lead,0.0
233,Facebook,2025-01-10 16:00:00,Lead,Lead,0.0
234,Facebook,2025-01-10 17:00:00,Lead,Lead,0.0
235,Google Ads,2025-01-10 18:00:00,Lead,Lead,0.0
236,Email,2025-01-10 19:00:00,Lead,Lead,0.0
237,Google Ads,2025-01-10 20:00:00,Lead,MQL,0.0
238,Google Ads,2025-01-10 21:00:00,Lead,Lead,0.0
239,Facebook,2025-01-10 22:00:00,Lead,Lead,0.0
240,Google Ads,2025-01-10 23:00:00,Lead,Lead,0.0
241,Organic,2025-01-11 00:00:00,Lead,Lead,0.0
242,Referral,2025-01-11 01:00:00,Lead,Closed Won,5918.404715158089
243,Organic,2025-01-11 02:00:00,Lead,Lead,0.0
244,Google Ads,2025-01-11 03:00:00,Lead,MQL,0.0
245,Google Ads,2025-01-11 04:00:00,Lead,Lead,0.0
246,Organic,2025-01-11 05:00:00,Lead,SQL,0.0
247,Facebook,2025-01-11 06:00:00,Lead,Lead,0.0
248,Referral,2025-01-11 07:00:00,Lead,Lead,0.0
249,Referral,2025-01-11 08:00:00,Lead,MQL,0.0
250,Organic,2025-01-11 09:00:00,Lead,Lead,0.0
251,Google Ads,2025-01-11 10:00:00,Lead,MQL,0.0
252,Google Ads,2025-01-11 11:00:00,Lead,Lead,0.0
253,Organic,2025-01-11 12:00:00,Lead,MQL,0.0
254,Google Ads,2025-01-11 13:00:00,Lead,Lead,0.0
255,Google Ads,2025-01-11 14:00:00,Lead,MQL,0.0
256,Facebook,2025-01-11 15:00:00,Lead,MQL,0.0
257,Organic,2025-01-11 16:00:00,Lead,SQL,0.0
258,Email,2025-01-11 17:00:00,Lead,Lead,0.0
259,Facebook,2025-01-11 18:00:00,Lead,Lead,0.0
260,Google Ads,2025-01-11 19:00:00,Lead,SQL,0.0
261,Facebook,2025-01-11 20:00:00,Lead,Lead,0.0
262,Referral,2025-01-11 21:00:00,Lead,MQL,0.0
263,Google Ads,2025-01-11 22:00:00,Lead,Lead,0.0
264,Facebook,2025-01-11 23:00:00,Lead,Lead,0.0
265,Organic,2025-01-12 00:00:00,Lead,Lead,0.0
266,Email,2025-01-12 01:00:00,Lead,MQL,0.0
267,Email,2025-01-12 02:00:00,Lead,MQL,0.0
268,Email,2025-01-12 03:00:00,Lead,Lead,0.0
269,Google Ads,2025-01-12 04:00:00,Lead,Lead,0.0
270,Google Ads,2025-01-12 05:00:00,Lead,Lead,0.0
271,Organic,2025-01-12 06:00:00,Lead,Lead,0.0
272,Organic,2025-01-12 07:00:00,Lead,Lead,0.0
273,Organic,2025-01-12 08:00:00,Lead,Lead,0.0
274,Organic,2025-01-12 09:00:00,Lead,Lead,0.0
275,Facebook,2025-01-12 10:00:00,Lead,Lead,0.0
276,Facebook,2025-01-12 11:00:00,Lead,MQL,0.0
277,Email,2025-01-12 12:00:00,Lead,MQL,0.0
278,Facebook,2025-01-12 13:00:00,Lead,Lead,0.0
279,Email,2025-01-12 14:00:00,Lead,Lead,0.0
280,Email,2025-01-12 15:00:00,Lead,Lead,0.0
281,Organic,2025-01-12 16:00:00,Lead,Lead,0.0
282,Google Ads,2025-01-12 17:00:00,Lead,MQL,0.0
283,Google Ads,2025-01-12 18:00:00,Lead,MQL,0.0
284,Google Ads,2025-01-12 19:00:00,Lead,Lead,0.0
285,Facebook,2025-01-12 20:00:00,Lead,Lead,0.0
286,Google Ads,2025-01-12 21:00:00,Lead,Lead,0.0
287,Facebook,2025-01-12 22:00:00,Lead,Lead,0.0
288,Facebook,2025-01-12 23:00:00,Lead,Lead,0.0
289,Google Ads,2025-01-13 00:00:00,Lead,MQL,0.0
290,Facebook,2025-01-13 01:00:00,Lead,Closed Lost,0.0
291,Google Ads,2025-01-13 02:00:00,Lead,MQL,0.0
292,Google Ads,2025-01-13 03:00:00,Lead,Lead,0.0
293,Organic,2025-01-13 04:00:00,Lead,SQL,0.0
294,Google Ads,2025-01-13 05:00:00,Lead,MQL,0.0
295,Google Ads,2025-01-13 06:00:00,Lead,Lead,0.0
296,Facebook,2025-01-13 07:00:00,Lead,Closed Won,2660.8463313106618
297,Email,2025-01-13 08:00:00,Lead,Lead,0.0
298,Google Ads,2025-01-13 09:00:00,Lead,MQL,0.0
299,Facebook,2025-01-13 10:00:00,Lead,Lead,0.0
300,Google Ads,2025-01-13 11:00:00,Lead,Closed Won,3703.5721070891964
301,Google Ads,2025-01-13 12:00:00,Lead,Lead,0.0
302,Facebook,2025-01-13 13:00:00,Lead,MQL,0.0
303,Facebook,2025-01-13 14:00:00,Lead,Lead,0.0
304,Facebook,2025-01-13 15:00:00,Lead,Lead,0.0
305,Email,2025-01-13 16:00:00,Lead,SQL,0.0
306,Referral,2025-01-13 17:00:00,Lead,MQL,0.0
307,Facebook,2025-01-13 18:00:00,Lead,Lead,0.0
308,Google Ads,2025-01-13 19:00:00,Lead,Lead,0.0
309,Email,2025-01-13 20:00:00,Lead,Lead,0.0
310,Google Ads,2025-01-13 21:00:00,Lead,Lead,0.0
311,Facebook,2025-01-13 22:00:00,Lead,Lead,0.0
312,Google Ads,2025-01-13 23:00:00,Lead,Lead,0.0
313,Google Ads,2025-01-14 00:00:00,Lead,Lead,0.0
314,Referral,2025-01-14 01:00:00,Lead,Lead,0.0
315,Organic,2025-01-14 02:00:00,Lead,Lead,0.0
316,Email,2025-01-14 03:00:00,Lead,MQL,0.0
317,Facebook,2025-01-14 04:00:00,Lead,Lead,0.0
318,Google Ads,2025-01-14 05:00:00,Lead,Lead,0.0
319,Google Ads,2025-01-14 06:00:00,Lead,MQL,0.0
320,Google Ads,2025-01-14 07:00:00,Lead,MQL,0.0
321,Facebook,2025-01-14 08:00:00,Lead,Lead,0.0
322,Email,2025-01-14 09:00:00,Lead,Lead,0.0
323,Email,2025-01-14 10:00:00,Lead,MQL,0.0
324,Google Ads,2025-01-14 11:00:00,Lead,Closed Lost,0.0
325,Referral,2025-01-14 12:00:00,Lead,MQL,0.0
326,Email,2025-01-14 13:00:00,Lead,Lead,0.0
327,Facebook,2025-01-14 14:00:00,Lead,Lead,0.0
328,Facebook,2025-01-14 15:00:00,Lead,Lead,0.0
329,Facebook,2025-01-14 16:00:00,Lead,MQL,0.0
330,Google Ads,2025-01-14 17:00:00,Lead,Lead,0.0
331,Google Ads,2025-01-14 18:00:00,Lead,SQL,0.0
332,Email,2025-01-14 19:00:00,Lead,MQL,0.0
333,Google Ads,2025-01-14 20:00:00,Lead,Lead,0.0
334,Google Ads,2025-01-14 21:00:00,Lead,Lead,0.0
335,Google Ads,2025-01-14 22:00:00,Lead,Lead,0.0
336,Google Ads,2025-01-14 23:00:00,Lead,MQL,0.0
337,Organic,2025-01-15 00:00:00,Lead,MQL,0.0
338,Email,2025-01-15 01:00:00,Lead,MQL,0.0
339,Facebook,2025-01-15 02:00:00,Lead,Closed Lost,0.0
340,Google Ads,2025-01-15 03:00:00,Lead,MQL,0.0
341,Facebook,2025-01-15 04:00:00,Lead,Lead,0.0
342,Facebook,2025-01-15 05:00:00,Lead,Lead,0.0
343,Google Ads,2025-01-15 06:00:00,Lead,Lead,0.0
344,Facebook,2025-01-15 07:00:00,Lead,MQL,0.0
345,Google Ads,2025-01-15 08:00:00,Lead,Lead,0.0
346,Facebook,2025-01-15 09:00:00,Lead,Lead,0.0
347,Facebook,2025-01-15 10:00:00,Lead,Lead,0.0
348,Google Ads,2025-01-15 11:00:00,Lead,Lead,0.0
349,Google Ads,2025-01-15 12:00:00,Lead,MQL,0.0
350,Facebook,2025-01-15 13:00:00,Lead,MQL,0.0
351,Facebook,2025-01-15 14:00:00,Lead,Lead,0.0
352,Organic,2025-01-15 15:00:00,Lead,Lead,0.0
353,Email,2025-01-15 16:00:00,Lead,Lead,0.0
354,Google Ads,2025-01-15 17:00:00,Lead,SQL,0.0
355,Google Ads,2025-01-15 18:00:00,Lead,Lead,0.0
356,Facebook,2025-01-15 19:00:00,Lead,MQL,0.0
357,Google Ads,2025-01-15 20:00:00,Lead,Lead,0.0
358,Facebook,2025-01-15 21:00:00,Lead,SQL,0.0
359,Organic,2025-01-15 22:00:00,Lead,Lead,0.0
360,Facebook,2025-01-15 23:00:00,Lead,Lead,0.0
361,Google Ads,2025-01-16 00:00:00,Lead,Lead,0.0
362,Facebook,2025-01-16 01:00:00,Lead,MQL,0.0
363,Facebook,2025-01-16 02:00:00,Lead,SQL,0.0
364,Facebook,2025-01-16 03:00:00,Lead,Lead,0.0
365,Organic,2025-01-16 04:00:00,Lead,SQL,0.0
366,Google Ads,2025-01-16 05:00:00,Lead,Lead,0.0
367,Referral,2025-01-16 06:00:00,Lead,Lead,0.0
368,Organic,2025-01-16 07:00:00,Lead,Lead,0.0
369,Google Ads,2025-01-16 08:00:00,Lead,Lead,0.0
370,Google Ads,2025-01-16 09:00:00,Lead,Lead,0.0
371,Google Ads,2025-01-16 10:00:00,Lead,SQL,0.0
372,Google Ads,2025-01-16 11:00:00,Lead,Lead,0.0
373,Google Ads,2025-01-16 12:00:00,Lead,Lead,0.0
374,Email,2025-01-16 13:00:00,Lead,Lead,0.0
375,Google Ads,2025-01-16 14:00:00,Lead,SQL,0.0
376,Google Ads,2025-01-16 15:00:00,Lead,MQL,0.0
377,Organic,2025-01-16 16:00:00,Lead,Lead,0.0
378,Google Ads,2025-01-16 17:00:00,Lead,Lead,0.0
379,Organic,2025-01-16 18:00:00,Lead,Lead,0.0
380,Google Ads,2025-01-16 19:00:00,Lead,Lead,0.0
381,Google Ads,2025-01-16 20:00:00,Lead,Lead,0.0
382,Email,2025-01-16 21:00:00,Lead,MQL,0.0
383,Facebook,2025-01-16 22:00:00,Lead,Lead,0.0
384,Organic,2025-01-16 23:00:00,Lead,Lead,0.0
385,Email,2025-01-17 00:00:00,Lead,MQL,0.0
386,Organic,2025-01-17 01:00:00,Lead,MQL,0.0
387,Google Ads,2025-01-17 02:00:00,Lead,MQL,0.0
388,Google Ads,2025-01-17 03:00:00,Lead,Lead,0.0
389,Email,2025-01-17 04:00:00,Lead,MQL,0.0
390,Organic,2025-01-17 05:00:00,Lead,Lead,0.0
391,Referral,2025-01-17 06:00:00,Lead,Lead,0.0
392,Facebook,2025-01-17 07:00:00,Lead,Lead,0.0
393,Google Ads,2025-01-17 08:00:00,Lead,SQL,0.0
394,Email,2025-01-17 09:00:00,Lead,Lead,0.0
395,Google Ads,2025-01-17 10:00:00,Lead,Lead,0.0
396,Organic,2025-01-17 11:00:00,Lead,Lead,0.0
397,Organic,2025-01-17 12:00:00,Lead,Lead,0.0
398,Facebook,2025-01-17 13:00:00,Lead,Lead,0.0
399,Email,2025-01-17 14:00:00,Lead,Lead,0.0
400,Email,2025-01-17 15:00:00,Lead,Lead,0.0
401,Google Ads,2025-01-17 16:00:00,Lead,MQL,0.0
402,Organic,2025-01-17 17:00:00,Lead,MQL,0.0
403,Facebook,2025-01-17 18:00:00,Lead,MQL,0.0
404,Organic,2025-01-17 19:00:00,Lead,Lead,0.0
405,Google Ads,2025-01-17 20:00:00,Lead,MQL,0.0
406,Organic,2025-01-17 21:00:00,Lead,MQL,0.0
407,Google Ads,2025-01-17 22:00:00,Lead,Closed Won,6703.430878237214
408,Google Ads,2025-01-17 23:00:00,Lead,Lead,0.0
409,Organic,2025-01-18 00:00:00,Lead,Closed Won,5671.896010069086
410,Google Ads,2025-01-18 01:00:00,Lead,Lead,0.0
411,Google Ads,2025-01-18 02:00:00,Lead,SQL,0.0
412,Referral,2025-01-18 03:00:00,Lead,Lead,0.0
413,Referral,2025-01-18 04:00:00,Lead,MQL,0.0
414,Facebook,2025-01-18 05:00:00,Lead,SQL,0.0
415,Facebook,2025-01-18 06:00:00,Lead,MQL,0.0
416,Facebook,2025-01-18 07:00:00,Lead,MQL,0.0
417,Google Ads,2025-01-18 08:00:00,Lead,MQL,0.0
418,Google Ads,2025-01-18 09:00:00,Lead,MQL,0.0
419,Email,2025-01-18 10:00:00,Lead,Lead,0.0
420,Email,2025-01-18 11:00:00,Lead,Lead,0.0
421,Email,2025-01-18 12:00:00,Lead,Lead,0.0
422,Email,2025-01-18 13:00:00,Lead,Lead,0.0
423,Google Ads,2025-01-18 14:00:00,Lead,SQL,0.0
424,Facebook,2025-01-18 15:00:00,Lead,MQL,0.0
425,Google Ads,2025-01-18 16:00:00,Lead,MQL,0.0
426,Facebook,2025-01-18 17:00:00,Lead,Lead,0.0
427,Facebook,2025-01-18 18:00:00,Lead,Lead,0.0
428,Organic,2025-01-18 19:00:00,Lead,Lead,0.0
429,Google Ads,2025-01-18 20:00:00,Lead,MQL,0.0
430,Google Ads,2025-01-18 21:00:00,Lead,MQL,0.0
431,Google Ads,2025-01-18 22:00:00,Lead,Lead,0.0
432,Email,2025-01-18 23:00:00,Lead,Lead,0.0
433,Facebook,2025-01-19 00:00:00,Lead,Closed Won,5486.955185644104
